MJD	log10(E)	ang_err	RA	Dec
   55694      4.6      0.2    242.6    -22.6
   55695      5.4      0.3     31.6    -38.0
   55695      5.4      1.0     31.0    -51.0
   55695      4.5      0.2    159.8    -46.8
   55695      4.9      0.5    327.9    -43.0
   55695      3.0      1.8    284.4     -8.2
   55695      4.7      0.2    177.5    -32.3
   55695      5.5      2.6    204.2    -45.6
   55695      4.3      0.3    119.8    -21.7
   55695      4.9      0.9     78.2    -35.6
   55695      3.3      0.5    188.7     -8.6
   55695      3.9      0.3    338.2    -20.0
   55695      5.0      0.6    305.0    -43.6
   55695      3.8      0.4    208.0    -14.0
   55695      5.2      0.6    307.5    -54.2
   55695      4.7      2.7    206.9    -35.7
   55695      4.0      1.5    210.5    -46.4
   55695      3.3      1.8    181.9     -9.2
   55695      5.0      0.3     27.3    -31.2
   55695      4.9      3.7    316.5    -24.6
   55695      4.7      0.3    156.4    -62.3
   55695      4.3      0.7     35.9    -52.1
   55695      5.1      2.4    247.8    -63.4
   55695      4.5      0.3    130.2    -62.9
   55695      4.9      0.3    324.6    -58.3
   55695      5.3      0.8    205.3    -58.3
   55695      5.0      0.6    177.0    -43.6
   55695      4.5      0.2    245.2    -42.8
   55695      3.3      0.2     17.8    -12.0
   55695      4.9      1.2    237.3    -32.1
   55695      4.5      0.2    337.3    -48.3
   55695      4.7      0.5    149.4    -57.7
   55695      4.5      0.2     97.0    -40.4
   55695      4.9      0.3    290.3    -39.8
   55695      5.1      0.3    171.3    -67.4
   55695      5.4      0.7    175.9    -39.7
   55695      4.7      0.6     71.6    -21.8
   55695      3.8      0.2    284.0    -32.0
   55695      4.5      0.2    231.0    -33.3
   55695      4.9      0.4    341.9    -65.7
   55695      5.1      1.7    198.2    -36.3
   55695      4.9      0.4    145.0    -62.2
   55695      3.1      0.2    256.4    -10.3
   55695      5.1      0.3    325.6    -69.0
   55695      5.2      1.2    101.0    -42.6
   55695      5.5      1.2     85.1    -59.2
   55695      3.6      0.5    271.3    -11.4
   55695      4.8      0.8    254.6    -71.0
   55695      4.0      1.2    278.3    -12.8
   55695      4.7      0.5    217.6    -38.7
   55695      4.6      0.2    308.7    -28.8
   55695      4.2      0.3    325.6    -25.0
   55695      4.7      2.4    177.6    -27.1
   55695      4.0      0.2    207.1    -12.4
   55695      3.8      0.2     23.5    -14.7
   55695      5.8      0.7     80.4    -41.2
   55695      5.6      0.5    138.9    -42.7
   55695      4.6      0.2    310.0    -72.7
   55695      3.3      0.8    160.7     -9.8
   55695      4.6      0.4     88.3    -25.5
   55695      4.5      0.3    260.2    -33.3
   55695      5.2      1.7    113.9    -54.5
   55695      5.3      1.0    208.9    -63.1
   55695      4.8      0.3    176.5    -34.1
   55695      4.6      0.2     94.5    -18.3
   55695      4.9      0.4    300.3    -39.1
   55695      3.0      0.7     63.3    -27.6
   55695      4.2      0.2    273.4    -21.2
   55695      3.4      0.4    145.7     -9.6
   55695      5.0      0.3    339.3    -35.6
   55695      3.4      0.5     25.7     -9.8
   55695      4.5      1.5    131.1    -41.0
   55695      4.5      0.4    123.1    -38.3
   55695      3.3      0.4    233.0     -6.1
   55695      3.2      0.3    161.6    -25.7
   55695      5.1      0.9     17.1    -20.7
   55695      4.2      1.8     13.7    -16.1
   55695      4.9      0.3    349.6    -43.9
   55695      3.0      0.7    254.0     -6.7
   55695      4.6      0.2    337.0    -42.6
   55695      3.4      1.1     90.1    -19.8
   55695      4.9      2.5    135.8    -67.6
   55695      4.3      0.9    262.3    -70.3
   55695      4.7      0.3    354.4    -26.3
   55695      3.7      0.1    137.9    -10.6
   55695      5.1      0.4    324.5    -37.8
   55695      5.2      0.2    105.7    -56.7
   55695      3.5      0.2    156.7    -12.1
   55695      3.7      0.3    137.4    -17.8
   55695      4.4      0.2    184.4    -59.1
   55695      5.2      0.5    174.3    -30.9
   55695      4.6      0.2    298.2    -69.0
   55695      4.9      0.4     68.4    -31.0
   55695      5.0      2.3    296.7    -34.0
   55695      3.5      0.4    336.5    -82.3
   55695      5.2      0.7    230.9    -36.6
   55695      4.8      0.9    168.3    -36.9
   55695      5.0      0.3     72.0    -50.6
   55695      4.9      1.6    278.7    -47.5
   55695      3.3      0.3    155.4    -10.9
   55695      5.3      0.5     99.1    -59.6
   55695      4.6      0.2     84.6    -29.4
   55695      5.1      0.3    340.7    -60.6
   55695      4.6      1.6    178.0    -22.1
   55695      3.0      0.7     50.2     -8.4
   55695      4.9      0.6    292.4    -57.1
   55695      5.2      0.3    118.1    -49.1
   55695      3.7      0.2    129.1    -15.2
   55695      4.5      0.2     66.4    -66.7
   55695      4.6      0.2    334.9    -32.6
   55695      5.4      0.5    210.2    -34.4
   55695      3.0      0.4    153.9     -8.7
   55695      4.9      0.6    268.7    -31.1
   55695      4.5      0.3    181.0    -36.7
   55695      4.7      0.6    222.5    -12.1
   55695      4.2      0.7    214.4    -17.1
   55695      5.1      0.3    199.4    -59.4
   55695      5.0      0.8    335.3    -35.5
   55695      4.1      1.4    339.7    -26.5
   55695      4.7      1.8    321.5    -64.8
   55695      4.8      1.1     61.4    -39.6
   55695      4.8      0.6    211.7    -51.5
   55695      4.6      0.3    170.2    -70.0
   55695      4.6      0.6     69.6    -29.5
   55695      5.4      0.5     71.8    -41.8
   55695      3.2      1.3     92.8     -6.8
   55695      3.9      1.5    138.4    -11.3
   55695      4.9      0.5     22.6    -25.6
   55695      3.3      0.2    110.1    -14.0
   55695      4.7      0.2    158.4    -25.6
   55695      4.9      4.6      4.0    -25.3
   55695      4.7      0.3    278.5    -67.2
   55695      4.5      0.4     75.4    -18.5
   55695      3.1      0.7    157.9     -8.9
   55695      4.6      0.2    117.2    -74.7
   55695      4.2      0.3    275.2    -29.5
   55695      4.1      0.4     40.9    -70.0
   55695      5.3      1.0     98.4    -67.3
   55695      5.6      0.7    268.8    -34.1
