log10(Emin/GeV)  log10(Emax/GeV)  Aeff[m2]
2.0              2.1             0.000e+00
2.1              2.2             4.745e-04
2.2              2.3             9.211e-04
2.3              2.4             2.770e-03
2.4              2.5             4.066e-03
2.5              2.6             1.088e-02
2.6              2.7             1.600e-02
2.7              2.8             3.708e-02
2.8              2.9             5.561e-02
2.9              3.0             9.966e-02
3.0              3.1             1.514e-01
3.1              3.2             2.077e-01
3.2              3.3             3.636e-01
3.3              3.4             6.283e-01
3.4              3.5             9.836e-01
3.5              3.6             1.513e+00
3.6              3.7             2.213e+00
3.7              3.8             2.697e+00
3.8              3.9             4.277e+00
3.9              4.0             5.765e+00
4.0              4.1             7.994e+00
4.1              4.2             1.187e+01
4.2              4.3             1.394e+01
4.3              4.4             1.794e+01
4.4              4.5             2.451e+01
4.5              4.6             3.317e+01
4.6              4.7             3.994e+01
4.7              4.8             5.268e+01
4.8              4.9             6.662e+01
4.9              5.0             7.423e+01
5.0              5.1             9.744e+01
5.1              5.2             1.090e+02
5.2              5.3             1.438e+02
5.3              5.4             1.683e+02
5.4              5.5             2.195e+02
5.5              5.6             2.344e+02
5.6              5.7             2.937e+02
5.7              5.8             3.299e+02
5.8              5.9             3.585e+02
5.9              6.0             4.447e+02
6.0              6.1             5.128e+02
6.1              6.2             5.688e+02
6.2              6.3             6.673e+02
6.3              6.4             6.929e+02
6.4              6.5             7.883e+02
6.5              6.6             9.432e+02
6.6              6.7             1.056e+03
6.7              6.8             1.015e+03
6.8              6.9             1.222e+03
6.9              7.0             1.290e+03
7.0              7.1             1.505e+03
7.1              7.2             1.503e+03
7.2              7.3             1.679e+03
7.3              7.4             1.831e+03
7.4              7.5             1.929e+03
7.5              7.6             1.887e+03
7.6              7.7             2.151e+03
7.7              7.8             2.097e+03
7.8              7.9             2.155e+03
7.9              8.0             2.264e+03
8.0              8.1             2.205e+03
8.1              8.2             2.529e+03
8.2              8.3             2.342e+03
8.3              8.4             2.701e+03
8.4              8.5             2.274e+03
8.5              8.6             2.122e+03
8.6              8.7             2.178e+03
8.7              8.8             2.074e+03
8.8              8.9             1.712e+03
8.9              9.0             1.796e+03
