log10(Emin/GeV)  log10(Emax/GeV)  Aeff[m2]
2.0              2.1             4.382e-05
2.1              2.2             2.172e-04
2.2              2.3             8.118e-04
2.3              2.4             2.615e-03
2.4              2.5             6.357e-03
2.5              2.6             1.375e-02
2.6              2.7             2.669e-02
2.7              2.8             4.804e-02
2.8              2.9             8.170e-02
2.9              3.0             1.385e-01
3.0              3.1             2.175e-01
3.1              3.2             3.442e-01
3.2              3.3             5.471e-01
3.3              3.4             8.078e-01
3.4              3.5             1.246e+00
3.5              3.6             1.782e+00
3.6              3.7             2.599e+00
3.7              3.8             3.663e+00
3.8              3.9             5.189e+00
3.9              4.0             6.996e+00
4.0              4.1             9.808e+00
4.1              4.2             1.287e+01
4.2              4.3             1.674e+01
4.3              4.4             2.085e+01
4.4              4.5             2.877e+01
4.5              4.6             3.622e+01
4.6              4.7             4.467e+01
4.7              4.8             5.547e+01
4.8              4.9             6.866e+01
4.9              5.0             8.852e+01
5.0              5.1             9.535e+01
5.1              5.2             1.219e+02
5.2              5.3             1.532e+02
5.3              5.4             1.581e+02
5.4              5.5             2.064e+02
5.5              5.6             2.386e+02
5.6              5.7             2.752e+02
5.7              5.8             3.229e+02
5.8              5.9             3.615e+02
5.9              6.0             3.940e+02
6.0              6.1             4.843e+02
6.1              6.2             5.531e+02
6.2              6.3             5.775e+02
6.3              6.4             6.807e+02
6.4              6.5             7.698e+02
6.5              6.6             7.829e+02
6.6              6.7             9.399e+02
6.7              6.8             1.033e+03
6.8              6.9             1.106e+03
6.9              7.0             1.207e+03
7.0              7.1             1.322e+03
7.1              7.2             1.441e+03
7.2              7.3             1.433e+03
7.3              7.4             1.569e+03
7.4              7.5             1.995e+03
7.5              7.6             1.695e+03
7.6              7.7             1.693e+03
7.7              7.8             2.228e+03
7.8              7.9             2.035e+03
7.9              8.0             2.081e+03
8.0              8.1             1.805e+03
8.1              8.2             2.242e+03
8.2              8.3             1.905e+03
8.3              8.4             1.938e+03
8.4              8.5             1.670e+03
8.5              8.6             1.883e+03
8.6              8.7             2.145e+03
8.7              8.8             1.664e+03
8.8              8.9             1.879e+03
8.9              9.0             1.421e+03
