log10(Emin/GeV)  log10(Emax/GeV)  Aeff[m2]
2.0              2.1             4.535e-04
2.1              2.2             1.672e-03
2.2              2.3             4.414e-03
2.3              2.4             9.842e-03
2.4              2.5             1.888e-02
2.5              2.6             3.361e-02
2.6              2.7             5.722e-02
2.7              2.8             9.515e-02
2.8              2.9             1.502e-01
2.9              3.0             2.405e-01
3.0              3.1             3.632e-01
3.1              3.2             5.619e-01
3.2              3.3             8.489e-01
3.3              3.4             1.231e+00
3.4              3.5             1.874e+00
3.5              3.6             2.573e+00
3.6              3.7             3.702e+00
3.7              3.8             5.007e+00
3.8              3.9             7.052e+00
3.9              4.0             9.631e+00
4.0              4.1             1.307e+01
4.1              4.2             1.700e+01
4.2              4.3             2.184e+01
4.3              4.4             2.732e+01
4.4              4.5             3.675e+01
4.5              4.6             4.605e+01
4.6              4.7             5.822e+01
4.7              4.8             7.222e+01
4.8              4.9             8.806e+01
4.9              5.0             1.122e+02
5.0              5.1             1.206e+02
5.1              5.2             1.598e+02
5.2              5.3             1.926e+02
5.3              5.4             2.008e+02
5.4              5.5             2.562e+02
5.5              5.6             3.012e+02
5.6              5.7             3.559e+02
5.7              5.8             3.980e+02
5.8              5.9             4.451e+02
5.9              6.0             5.114e+02
6.0              6.1             5.958e+02
6.1              6.2             6.971e+02
6.2              6.3             7.332e+02
6.3              6.4             8.477e+02
6.4              6.5             9.805e+02
6.5              6.6             1.031e+03
6.6              6.7             1.196e+03
6.7              6.8             1.225e+03
6.8              6.9             1.432e+03
6.9              7.0             1.554e+03
7.0              7.1             1.661e+03
7.1              7.2             1.928e+03
7.2              7.3             1.989e+03
7.3              7.4             2.129e+03
7.4              7.5             2.729e+03
7.5              7.6             2.585e+03
7.6              7.7             2.607e+03
7.7              7.8             2.458e+03
7.8              7.9             2.705e+03
7.9              8.0             2.926e+03
8.0              8.1             2.604e+03
8.1              8.2             2.887e+03
8.2              8.3             2.741e+03
8.3              8.4             2.674e+03
8.4              8.5             2.268e+03
8.5              8.6             2.819e+03
8.6              8.7             3.369e+03
8.7              8.8             2.346e+03
8.8              8.9             2.214e+03
8.9              9.0             2.171e+03
