    MJD       Ra_deg  Dec_deg  Unc_deg  log10(Ereco)
54567.351956   79.39     7.64     0.48     3.19
54581.572849   76.16     6.91     0.79     3.69
54595.905001   80.22     5.93     1.13     3.32
54599.512030   78.85     5.09     0.51     3.50
54635.225593   79.02     3.88     0.46     4.63
54666.328255   78.11     6.91     1.51     5.50
54667.044995   77.64     4.06     0.43     4.24
54668.648890   74.91     5.94     0.49     3.47
54676.460565   78.71     6.29     0.34     3.99
54692.276485   79.48     5.45     1.18     3.37
54707.987934   80.22     4.96     1.68     4.28
54715.073660   77.67     3.22     0.67     3.47
54725.600123   75.72     5.15     0.56     3.21
54730.125874   75.39     6.04     1.41     3.45
54737.460167   78.16     8.00     1.10     3.76
54738.796240   75.11     7.00     0.92     3.41
54759.625365   75.46     6.40     0.71     3.25
54759.932666   80.22     5.93     1.14     3.46
54774.374973   76.62     3.30     0.50     3.99
54787.266915   74.64     4.79     1.08     3.12
54792.820337   78.59     8.14     0.38     3.24
54814.480099   75.14     4.89     1.33     3.34
54836.484440   78.39     4.92     0.90     3.47
54838.356847   74.53     5.49     0.55     4.02
54843.854362   76.11     3.58     1.49     3.31
54853.558868   78.63     3.48     0.84     4.15
54855.053522   76.49     3.88     1.98     3.68
54875.629851   76.98     3.60     0.48     3.28
54922.578013   78.14     6.09     1.71     3.58
54953.636719   78.48     7.44     0.77     3.60
54969.892452   75.56     6.37     1.89     3.16
