    MJD       Ra_deg  Dec_deg  Unc_deg  log10(Ereco)
55700.018832   77.94     7.46     0.80     3.05
55702.199330   78.02     4.15     0.77     2.89
55702.732605   75.89     5.49     0.43     3.16
55703.178705   75.19     4.60     1.54     3.07
55713.959179   79.38     5.55     0.52     2.98
55714.042061   77.52     7.76     0.89     2.69
55715.198831   78.63     4.19     0.56     2.89
55716.042292   76.90     4.54     0.99     2.87
55719.249665   76.54     4.64     0.74     2.84
55729.180915   77.19     4.73     0.38     2.90
55729.841007   76.13     4.81     0.67     2.92
55730.434260   79.83     6.73     1.23     3.03
55736.186980   75.34     7.87     0.66     2.98
55736.236250   75.94     4.31     0.62     3.15
55740.450891   78.21     5.92     1.49     3.00
55744.931355   75.75     7.21     0.74     3.37
55749.053728   78.69     7.50     0.42     3.39
55751.883148   78.99     7.99     0.62     3.04
55758.790788   79.05     7.42     0.42     3.01
55760.444722   75.17     6.00     0.36     2.92
55765.147061   79.77     6.19     0.39     2.93
55765.322593   78.29     3.07     0.80     3.13
55767.870371   79.08     4.70     0.53     3.05
55768.264734   76.32     7.88     0.95     2.89
55769.326320   76.75     3.28     0.65     2.95
55771.096031   79.75     5.06     0.19     3.33
55771.797802   77.59     5.76     1.52     3.22
55772.486008   75.49     3.81     1.92     3.33
55777.422385   78.48     4.19     0.74     2.95
55781.006215   75.53     5.94     2.09     2.88
55789.338913   78.21     6.36     0.30     3.91
55801.315845   80.11     5.74     0.22     3.48
55804.012026   76.46     7.92     0.18     3.50
55808.334098   77.32     5.28     0.37     3.57
55811.515405   76.22     5.66     0.43     3.89
55812.395047   79.36     7.56     0.82     2.94
55813.167072   76.70     8.36     0.31     2.92
55815.064017   77.98     8.40     0.49     2.96
55816.597558   75.21     7.27     2.34     2.79
55820.923959   76.13     7.13     0.75     2.71
55821.874179   75.20     7.79     1.87     2.99
55823.377686   76.98     5.59     1.24     3.24
55823.844445   77.58     6.22     2.02     3.42
55832.288924   75.00     4.09     1.59     3.60
55835.270093   78.66     4.22     0.74     2.93
55835.297558   79.12     3.74     1.97     3.30
55836.482095   79.47     3.69     1.79     2.94
55840.481320   77.00     5.78     0.96     2.74
55841.990348   76.11     4.54     0.49     2.91
55842.589735   78.24     6.57     0.58     3.00
55842.921644   76.72     4.50     1.39     3.08
55850.070741   77.34     6.97     2.00     3.58
55851.299110   79.82     4.27     1.62     2.78
55859.721285   75.27     7.10     2.03     2.71
55859.967882   76.23     8.31     0.48     2.98
55862.860696   78.50     5.51     2.51     3.37
55863.877778   78.90     5.91     0.74     3.32
55869.879688   79.43     3.89     0.57     3.14
55871.207154   75.12     5.71     0.23     2.89
55871.269006   79.28     5.69     1.64     3.17
55871.406922   79.42     4.51     0.40     2.77
55879.628994   75.68     4.33     0.57     2.85
55879.766991   80.31     5.40     0.84     3.01
55884.643727   77.05     5.15     0.78     2.98
55885.755996   77.56     2.95     2.49     2.69
55886.525428   77.74     7.44     0.34     3.27
55887.391493   76.52     2.97     1.01     3.02
55890.821459   77.01     6.17     0.95     3.29
55906.653994   76.77     4.17     0.83     3.22
55907.033693   78.84     7.91     0.50     3.71
55907.729260   79.45     5.00     0.20     3.78
55907.760579   76.38     4.40     0.61     2.66
55908.033901   76.25     5.15     1.39     2.80
55910.550128   75.50     7.27     0.33     3.38
55914.693241   77.03     4.86     0.44     3.06
55915.289295   75.83     3.95     0.25     3.17
55915.726574   78.84     3.98     2.73     2.83
55917.039133   75.26     7.63     0.26     2.81
55918.485452   76.98     5.63     0.46     2.87
55920.900163   79.40     5.17     0.56     2.80
55930.781899   74.76     7.14     0.29     3.23
55938.004387   77.75     5.95     0.36     3.00
55946.530383   78.64     3.40     0.22     3.16
55949.951795   79.73     7.34     0.57     2.87
55951.180452   76.24     3.36     0.91     2.97
55952.721598   78.27     8.01     2.05     2.91
55956.243565   76.08     4.47     1.01     3.27
55960.336632   75.34     5.91     0.40     2.74
55961.287049   75.91     5.25     0.60     3.07
55969.232987   76.77     3.80     1.48     3.46
55977.594781   79.16     6.97     0.67     2.95
55992.392293   79.77     5.03     0.68     3.12
55994.653067   77.04     3.01     1.15     3.58
56002.400162   79.15     6.38     1.75     2.92
56005.777500   77.40     3.49     0.29     2.86
56006.750498   74.71     6.93     0.22     3.38
56008.297790   79.44     4.55     0.41     3.08
56013.473785   80.00     6.80     0.76     3.13
56013.488773   75.86     6.14     0.67     2.80
56020.612130   77.14     8.60     1.48     3.45
56022.678611   75.01     6.40     0.82     3.17
56023.927570   75.82     5.76     0.24     2.93
56027.281309   78.31     5.53     0.39     3.01
56031.545695   75.07     7.17     0.23     3.35
56036.105198   77.24     4.38     0.52     3.26
56047.817744   78.30     5.04     1.02     2.84
56049.889352   74.81     6.07     0.19     2.93
56050.903994   78.87     6.32     0.22     3.14
56059.119618   77.14     4.20     0.57     2.96
